ID Pos	Nama Pos	Latitude	Longitude	Jumlah KK	Jumlah Jiwa	ID Jemaat	ID Pendeta
POS-59271	Bajem Anugerah Serengkah	-1,7777771	110,7027291	80	294	20-05-IT	PDT-11639704
POS-93613	"""Timotius"" Margorejo"	-4,75117844	104,8968489	16	41	06-12-SP	PDT-50703951
POS-24519	"""Baithani"" Papan Rejo"	-4,725061991	104,9345573	1	5	06-12-SP	PDT-50703951
POS-32475	"""Imanuel"" Propau"	-4,822590931	105,001989	18	49	06-12-SP	PDT-50703951
POS-19929	Pos Pelkes Pancaran Kasih Muara Kate	-1,673090444	115,7248183	37	101	22-04-EB	PDT-41950460
POS-76733	"Pospelkes ""Anugerah"" Sekang"	2,780568388	117,3176569	8	35	24-05-MT	PDT-78038857
POS-42584	"Pospelkes ""Kanaan"" Pejalin"	2,810593057	117,3182419	35	125	24-05-MT	PDT-78038857
POS-91941	GPIB Pos Pelkes Gideon Sebuduh	0,489861958	110,3450123	9	30	20-09-OS	PDT-27471110
POS-18785	GPIB Pos Pelkes Penabur Ngoyok	0,524792189	110,3727189	40	119	20-09-OS	PDT-27471110
POS-41348	Pos Pelkes Pancaran Kasih Naga Mas Estate			42	168	04-14-SK	PDT-74857909
POS-48869	Pos Pelkes Pancaran Kasih Tapung Makmur			27	118	04-14-SK	PDT-74857909
POS-38720	Pos Pelkes Maranatha PT. Cerenti Subur			30	100	04-07-EF	PDT-23910877
POS-30508	Pos Pelkes Bukit Sion PT. KTBM	-0,8125095	101,6158175	62	195	04-07-EF	PDT-23910877
POS-13537	Bajem Agape Mersam	-1,535154949	102,9042386	75	310	05-06MJ	PDT-42480179
POS-79471	"Bakal Jemaat ""Maranatha"" Nawang Baru"	1,785824	114,899798	83	293	23-05-IA	PDT-17657741
POS-56819	Pos Pelkes Siloam Tadoan	0,990049272	118,5470387	91	310	23-08-PS	PDT-64742682
POS-97404	"Pos Pelkes ""Bethesda"" Rantau Rasau"	-1,178816127	104,1320103	22	76	05-06MJ	PDT-65676161
POS-83988	Bethel Lontar	-3,985204591	116,0825079	4	10	21-04-IK	PDT-50821277
POS-27108	Silo Sungai Pinang	-3,468778908	116,0704982	22	65	21-04-IK	PDT-50821277
POS-56167	Pos Pelkes Maranatha Karang Agung Tengah	-2,311331354	104,4954673	29	69	05-07-PS	PDT-29746330
POS-81626	Bakal Jemaat Sion Merlung	-1,30524199	102,9815611	84	336	05-10-EJ	PDT-63289176
POS-52165	"GPIB Pos Pelkes ""Sumber Kasih"" Kalampising"			61	300	24-01-BM	PDT-16929588
POS-77457	"Pos Pelkes ""Sejahtera"" Samboja"	-1,015891665	117,0202587	23	72	22-11-SB	PDT-57897189
POS-34993	"Pos Pelkes ""Torsina"" Senipah"	-0,970210246	117,1555725	13	38	22-11-SB	PDT-57897189
POS-89558	"Pos Pelkes ""Efrata"" Traktor VI"	-1,153802072	116,9562041	6	21	22-11-SB	PDT-57897189
POS-89562	Bajem Maranatha Sebulu	-0,16187742	116,9578425	48	153	23-03-ET	PDT-45846521
POS-69232	Pos Pelkes Sumber Hidup Sebamban	-3,678684462	115,5659794	11	27	21-02-RP	PDT-37298708
POS-25738	Pos Pelkes Air Hidup Seikotuk	0,679633122	101,050454	24	96	04-15-SD	PDT-41129720
POS-70577	Pos Pelkes Samaria Pelambaian	0,733188476	101,0663326	27	98	04-15-SD	PDT-41129720
POS-94758	Marturia Sungai Uma			79	316	24-05-MT	PDT-47831495
POS-95716	Anugerah Penabur Karang Agung			21	74	24-05-MT	PDT-47831495
POS-97007	Pos Pelkes Maranatha Kelapa Kampit	-2,694797609	108,0784428	27	73	02-05-KM	PDT-46514951
POS-51092	Immanuel Bengkarek			75	200	20-03-BP	PDT-10651965
POS-34433	Tuah Jubata Sei Pelaik			11	26	20-03-BP	PDT-10651965
POS-57892	Sahabat Berinang			6	17	20-03-BP	PDT-10651965
POS-39714	Pos Pelkes Perdamaian Km12 Bagan Musik Estate	-2,420918	110,93776	25	50	20-22-BZ	PDT-80271497
POS-88810	Pos Pelkes Arai Kehidupan Air Mengaris	-2,486802	110,881618	30	75	20-22-BZ	PDT-80271497
POS-38840	Bajem Tabanan	-8,5245255	115,0906951	102	332	18-04-MD	PDT-52587201
POS-36849	Pos Pelkes Hosana Separi	-0,2663696	117,1166359	22	69	23-06-IS	PDT-71887759
POS-35736	Pos Pelkes Bukit Sion Giri Agung	-0,2013188	117,0643722	17	48	23-06-IS	PDT-71887759
POS-62914	Immanuel Mempawah			30	70	20-10-PA	PDT-59630925
POS-67834	Kharisma Mundun	0,220911	110,386946	34	101	20-07-MS	PDT-81550253
POS-43392	Tuah Petara Sintang			27		20-13-SP	PDT-40606621
POS-19856	Ekklesia Nanga SIlat			39		20-13-SP	PDT-40606621
POS-24342	Bethel Selabe			26	99	20-01-AB	PDT-47079836
POS-41679	Alfa & Omega Ilai Pejugan			16	52	20-01-AB	PDT-47079836
POS-34686	Bajem SILOAM Binong			78	248	07-09-YU	PDT-21698587
